Date,Close,Open,High,Low,Vol,Change_%
"Jan 26, 2010",125.75,125.92,127.75,125.41,7136640,-0.29
"Jan 25, 2010",126.12,126.33,126.89,125.71,5738920,0.49
"Jan 22, 2010",125.50,128.67,128.89,125.37,10089325,-2.71
"Jan 21, 2010",129.00,130.47,130.69,128.06,9608696,-0.96
"Jan 20, 2010",130.25,130.46,131.15,128.95,15201857,-2.90
"Jan 19, 2010",134.14,131.63,134.25,131.56,13916168,1.79
"Jan 15, 2010",131.78,132.03,132.89,131.09,8502320,-0.40
"Jan 14, 2010",132.31,130.55,132.71,129.91,7114544,1.60
"Jan 13, 2010",130.23,130.39,131.12,129.16,6458302,-0.21
"Jan 12, 2010",130.51,129.03,131.33,129.00,8083354,0.80
"Jan 11, 2010",129.48,131.06,131.06,128.67,5731177,-1.05
"Jan 08, 2010",130.85,129.07,130.92,129.05,4197105,1.00
"Jan 07, 2010",129.55,129.87,130.25,128.91,5840569,-0.35
"Jan 06, 2010",130.00,130.68,131.49,129.81,5605290,-0.65
"Jan 05, 2010",130.85,131.68,131.85,130.10,6842471,-1.21
"Jan 04, 2010",132.45,131.18,132.97,130.85,6155846,1.18
"Dec 31, 2009",130.90,132.41,132.85,130.75,4225128,-1.26
"Dec 30, 2009",132.57,131.23,132.68,130.68,3867291,0.55
"Dec 29, 2009",131.85,132.28,132.37,131.80,4184782,-0.35
"Dec 28, 2009",132.31,130.99,132.31,130.72,5801087,1.33
"Dec 24, 2009",130.57,129.89,130.57,129.48,4265079,0.44
"Dec 23, 2009",130.00,129.70,130.00,129.30,4129112,0.05
"Dec 22, 2009",129.93,129.30,129.98,129.19,5535651,0.99
"Dec 21, 2009",128.65,127.80,128.94,127.68,4775164,0.58
"Dec 18, 2009",127.91,127.97,128.39,127.00,9106601,0.40
"Dec 17, 2009",127.40,128.00,128.56,127.12,5910454,-1.02
"Dec 16, 2009",128.71,128.74,129.60,128.35,6372736,0.17
"Dec 15, 2009",128.49,129.46,129.86,127.94,8033372,-1.11
"Dec 14, 2009",129.93,129.65,129.98,129.60,5202187,0.19
"Dec 11, 2009",129.68,129.01,129.77,128.71,6599285,0.26
"Dec 10, 2009",129.34,128.13,129.47,128.09,7077907,0.74
"Dec 09, 2009",128.39,126.70,128.39,126.11,6071919,1.25
"Dec 08, 2009",126.80,126.97,127.35,126.16,5351458,-0.19
"Dec 07, 2009",127.04,126.88,127.53,126.59,4144680,-0.17
"Dec 04, 2009",127.25,128.40,128.90,126.00,7068967,-0.24
"Dec 03, 2009",127.55,127.60,128.47,127.25,5759913,0.27
"Dec 02, 2009",127.21,127.32,128.39,127.16,4599675,-0.57
"Dec 01, 2009",127.94,127.29,128.39,126.85,6578504,1.26
"Nov 30, 2009",126.35,125.12,126.60,124.92,6302942,0.52
"Nov 27, 2009",125.70,124.59,126.62,124.26,3319189,-1.24
"Nov 25, 2009",127.28,127.88,128.22,127.08,3970966,-0.51
"Nov 24, 2009",127.93,127.90,128.32,127.14,4822106,-0.21
"Nov 23, 2009",128.20,127.70,128.94,127.65,7003414,0.98
"Nov 20, 2009",126.96,127.17,127.69,126.46,5354701,-0.45
"Nov 19, 2009",127.54,127.28,127.84,126.51,5309025,-0.48
"Nov 18, 2009",128.15,128.05,128.35,127.55,3970158,-0.37
"Nov 17, 2009",128.63,127.43,128.66,127.40,7910332,0.33
"Nov 16, 2009",128.21,127.17,128.24,127.03,7975416,0.93
"Nov 13, 2009",127.03,126.41,127.80,126.27,4986825,0.61
"Nov 12, 2009",126.26,126.61,127.65,126.11,5345379,-0.73
"Nov 11, 2009",127.19,126.55,127.30,125.94,6531368,0.22
"Nov 10, 2009",126.91,125.30,127.05,125.17,6444507,0.72
"Nov 09, 2009",126.00,123.92,126.00,123.49,7767199,2.03
"Nov 06, 2009",123.49,122.51,123.49,122.23,4979517,0.32
"Nov 05, 2009",123.10,122.12,123.50,122.00,6703852,1.49
"Nov 04, 2009",121.29,121.46,122.50,121.16,6353648,0.11
"Nov 03, 2009",121.16,119.53,121.19,119.53,5720434,0.50
"Nov 02, 2009",120.56,120.77,121.93,119.50,7050252,-0.04
"Oct 30, 2009",120.61,122.63,124.30,120.48,7716347,-1.84
"Oct 29, 2009",122.87,122.15,123.03,121.60,6309369,1.13
"Oct 28, 2009",121.50,120.47,121.68,119.87,8782409,0.70
"Oct 27, 2009",120.65,120.18,122.14,119.15,9445982,0.45
"Oct 26, 2009",120.11,120.61,122.44,119.55,6539803,-0.21
"Oct 23, 2009",120.36,122.95,123.06,120.00,6799823,-1.90
"Oct 22, 2009",122.69,120.75,123.00,120.34,6029228,1.51
"Oct 21, 2009",120.87,122.18,124.11,120.86,7175154,-1.59
"Oct 20, 2009",122.82,123.36,123.50,121.50,8780912,-0.20
"Oct 19, 2009",123.06,121.76,123.36,121.61,7514034,1.17
"Oct 16, 2009",121.64,123.15,123.70,121.25,19218944,-4.95
"Oct 15, 2009",127.98,127.56,128.00,126.32,11952990,-0.29
"Oct 14, 2009",128.35,127.71,128.61,126.60,9558486,1.05
"Oct 13, 2009",127.02,126.22,127.39,126.20,7582436,-0.02
"Oct 12, 2009",127.04,125.44,127.10,125.20,7730425,0.88
"Oct 09, 2009",125.93,122.43,126.00,122.30,13123483,2.98
"Oct 08, 2009",122.29,122.52,122.98,121.85,6501378,-0.40
"Oct 07, 2009",122.78,121.12,122.85,120.94,5967677,1.18
"Oct 06, 2009",121.35,120.39,121.59,120.22,6659151,1.34
"Oct 05, 2009",119.75,118.90,120.18,118.13,5673472,0.61
"Oct 02, 2009",119.02,117.40,119.66,117.26,7585296,0.95
"Oct 01, 2009",117.90,119.39,119.61,117.56,7070015,-1.43
"Sep 30, 2009",119.61,119.18,120.00,117.55,7733205,0.67
"Sep 29, 2009",118.81,119.36,119.94,118.60,6748992,-0.44
"Sep 28, 2009",119.33,120.52,122.00,118.94,8250073,-1.45
"Sep 25, 2009",121.08,120.27,121.65,120.10,5187894,0.12
"Sep 24, 2009",120.94,120.69,121.65,120.40,5427378,0.10
"Sep 23, 2009",120.82,121.26,122.74,120.71,5539926,-0.65
"Sep 22, 2009",121.61,122.09,122.11,120.98,5564648,0.03
